{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'oracle': 0.35, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2361, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'oracle': 0.26, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2392, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'oracle': 0.24, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2425, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'oracle': 0.27, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2371, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'oracle': 0.39, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2263, 'n_source': 25, 'n_target': 100, 'lipton': 0.7, 'oracle': 0.27, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2315, 'n_source': 25, 'n_target': 100, 'lipton': 0.62, 'oracle': 0.29, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2396, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'oracle': 0.29, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2346, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'oracle': 0.34, 'iter': 19}
'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2332, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'oracle': 0.27, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2473, 'n_source': 25, 'n_target': 100, 'lipton': 0.28, 'oracle': 0.28, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2367, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'oracle': 0.27, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2398, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'oracle': 0.35, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2322, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'oracle': 0.23, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.24, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'oracle': 0.34, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2348, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'oracle': 0.31, 'iter': 20}
{'{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2366, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'oracle': 0.31, 'iter': 80{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2313, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'oracle': 0.22, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2315, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'oracle': 0.33, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'oracle': 0.36, 'iter': 32}
}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2466, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'oracle': 0.29, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 25, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.32, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2326, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'oracle': 0.33, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2383, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'oracle': 0.38, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2307, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'oracle': 0.28, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2338, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'oracle': 0.29, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2362, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'oracle': 0.38, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2424, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'oracle': 0.38, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2429, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'oracle': 0.32, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2334, 'n_source': 25, 'n_target': 100, 'lipton': 0.24, 'oracle': 0.19, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2373, 'n_source': 25, 'n_target': 100, 'lipton': 0.41, 'oracle': 0.39, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2378, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'oracle': 0.31, 'iter': 89}
