{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 4, 'n_target': 50, 'lipton': 0.2175, 'prop-target': 0.68, 'oracle': 0.7175, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 4, 'n_target': 50, 'lipton': 0.2025, 'prop-target': 0.72, 'oracle': 0.735, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 4, 'n_target': 50, 'lipton': 0.2075, 'prop-target': 0.84, 'oracle': 0.7225, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 4, 'n_target': 50, 'lipton': 0.255, 'prop-target': 0.86, 'oracle': 0.255, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 4, 'n_target': 50, 'lipton': 0.21, 'prop-target': 0.76, 'oracle': 0.715, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 4, 'n_target': 50, 'lipton': 0.2075, 'prop-target': 0.84, 'oracle': 0.2075, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 4, 'n_target': 50, 'lipton': 0.225, 'prop-target': 0.88, 'oracle': 0.225, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 4, 'n_target': 50, 'lipton': 0.2725, 'prop-target': 0.7, 'oracle': 0.2725, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 4, 'n_target': 50, 'lipton': 0.25, 'prop-target': 0.92, 'oracle': 0.25, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 4, 'n_target': 50, 'lipton': 0.25, 'prop-target': 0.72, 'oracle': 0.25, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 4, 'n_target': 50, 'lipton': 0.23, 'prop-target': 0.7, 'oracle': 0.6775, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0157, 'n_source': 4, 'n_target': 50, 'lipton': 0.26, 'prop-target': 0.98, 'oracle': 0.26, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 4, 'n_target': 50, 'lipton': 0.24, 'prop-target': 0.64, 'oracle': 0.695, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 4, 'n_target': 50, 'lipton': 0.25, 'prop-target': 0.84, 'oracle': 0.25, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 4, 'n_target': 50, 'lipton': 0.2625, 'prop-target': 0.64, 'oracle': 0.2625, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0159, 'n_source': 4, 'n_target': 50, 'lipton': 0.195, 'prop-target': 0.7, 'oracle': 0.195, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0165, 'n_source': 4, 'n_target': 50, 'lipton': 0.2225, 'prop-target': 0.7, 'oracle': 0.74, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.78, 'oracle': 0.72, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 4, 'n_target': 50, 'lipton': 0.1925, 'prop-target': 0.72, 'oracle': 0.1925, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 4, 'n_target': 50, 'lipton': 0.2325, 'prop-target': 0.6, 'oracle': 0.2325, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.017, 'n_source': 4, 'n_target': 50, 'lipton': 0.2375, 'prop-target': 0.74, 'oracle': 0.2375, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 4, 'n_target': 50, 'lipton': 0.2725, 'prop-target': 0.66, 'oracle': 0.2725, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 4, 'n_target': 50, 'lipton': 0.1625, 'prop-target': 0.78, 'oracle': 0.7175, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 4, 'n_target': 50, 'lipton': 0.7675, 'prop-target': 0.44, 'oracle': 0.7675, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0213, 'n_source': 4, 'n_target': 50, 'lipton': 0.245, 'prop-target': 0.64, 'oracle': 0.245, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 4, 'n_target': 50, 'lipton': 0.22, 'prop-target': 0.78, 'oracle': 0.22, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 4, 'n_target': 50, 'lipton': 0.18, 'prop-target': 0.56, 'oracle': 0.715, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 4, 'n_target': 50, 'lipton': 0.1925, 'prop-target': 0.82, 'oracle': 0.1925, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 4, 'n_target': 50, 'lipton': 0.215, 'prop-target': 0.62, 'oracle': 0.7525, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 4, 'n_target': 50, 'lipton': 0.2075, 'prop-target': 0.84, 'oracle': 0.2075, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 4, 'n_target': 50, 'lipton': 0.24, 'prop-target': 0.82, 'oracle': 0.7475, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 4, 'n_target': 50, 'lipton': 0.28, 'prop-target': 0.82, 'oracle': 0.28, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 4, 'n_target': 50, 'lipton': 0.2125, 'prop-target': 0.78, 'oracle': 0.2125, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0165, 'n_source': 4, 'n_target': 50, 'lipton': 0.235, 'prop-target': 0.66, 'oracle': 0.235, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 4, 'n_target': 50, 'lipton': 0.2025, 'prop-target': 0.8, 'oracle': 0.2025, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 4, 'n_target': 50, 'lipton': 0.2425, 'prop-target': 0.82, 'oracle': 0.2425, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 4, 'n_target': 50, 'lipton': 0.205, 'prop-target': 0.76, 'oracle': 0.735, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 4, 'n_target': 50, 'lipton': 0.2375, 'prop-target': 0.84, 'oracle': 0.2375, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 4, 'n_target': 50, 'lipton': 0.2325, 'prop-target': 0.74, 'oracle': 0.7325, 'iter': 37}
