{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.055, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.37, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0563, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.3, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0551, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.2, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0551, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.28, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0511, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.3, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0554, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.27, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0535, 'n_source': 150, 'n_target': 50, 'classical': 0.2, 'labeled': 0.3, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0532, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.27, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.33, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0533, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.29, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0537, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.36, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0604, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.35, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0545, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.31, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0569, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.29, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.34, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0526, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.31, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.38, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0577, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.29, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0547, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.31, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0544, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.38, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0529, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.28, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0555, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.3, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0566, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.33, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0561, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.35, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0527, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.35, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0518, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.25, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.058, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.35, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0559, 'n_source': 150, 'n_target': 50, 'classical': 0.4, 'labeled': 0.4, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0574, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.28, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0553, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.28, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0545, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.27, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0528, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.28, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0531, 'n_source': 150, 'n_target': 50, 'classical': 0.39, 'labeled': 0.53, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0578, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.34, 'iter': 22}
