{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2209, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.847058823529412, 'oracle': 0.32, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.227, 'n_source': 25, 'n_target': 100, 'lipton': 0.59, 'prop-target': 0.3933333333333328, 'oracle': 0.38, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2187, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6992079207920793, 'oracle': 0.33, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.225, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.7236842105263157, 'oracle': 0.36, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.218, 'n_source': 25, 'n_target': 100, 'lipton': 0.67, 'prop-target': 0.39999999999999997, 'oracle': 0.33, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2198, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.6505882352941177, 'oracle': 0.31, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2249, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.688235294117647, 'oracle': 0.24, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.225, 'n_source': 25, 'n_target': 100, 'lipton': 0.7, 'prop-target': -1.04, 'oracle': 0.31, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.224, 'n_source': 25, 'n_target': 100, 'lipton': 0.66, 'prop-target': 0.4392156862745098, 'oracle': 0.35, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2235, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.6076595744680853, 'oracle': 0.32, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2179, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 1.0162962962962963, 'oracle': 0.35, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2247, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.32022222222222224, 'oracle': 0.44, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2251, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.5333333333333334, 'oracle': 0.3, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2239, 'n_source': 25, 'n_target': 100, 'lipton': 0.38, 'prop-target': 1.0241860465116277, 'oracle': 0.38, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2162, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5804255319148937, 'oracle': 0.33, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2144, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'prop-target': 0.6510638297872341, 'oracle': 0.2, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2188, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.26604651162790693, 'oracle': 0.34, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2255, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6293617021276596, 'oracle': 0.36, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2244, 'n_source': 25, 'n_target': 100, 'lipton': 0.4, 'prop-target': 0.7833333333333334, 'oracle': 0.4, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.225, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5955555555555556, 'oracle': 0.32, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2232, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.77, 'oracle': 0.24, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2203, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'prop-target': 0.5199999999999999, 'oracle': 0.27, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2209, 'n_source': 25, 'n_target': 100, 'lipton': 0.53, 'prop-target': 0.042105263157894764, 'oracle': 0.33, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2226, 'n_source': 25, 'n_target': 100, 'lipton': 0.38, 'prop-target': 0.563076923076923, 'oracle': 0.36, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2235, 'n_source': 25, 'n_target': 100, 'lipton': 0.73, 'prop-target': 0.20000000000000012, 'oracle': 0.35, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2253, 'n_source': 25, 'n_target': 100, 'lipton': 0.41, 'prop-target': 0.5757142857142858, 'oracle': 0.39, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2259, 'n_source': 25, 'n_target': 100, 'lipton': 0.31, 'prop-target': 0.7090909090909092, 'oracle': 0.31, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2208, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.6705882352941178, 'oracle': 0.39, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2227, 'n_source': 25, 'n_target': 100, 'lipton': 0.74, 'prop-target': -0.41142857142857153, 'oracle': 0.3, 'iter': 18}
kernel_df': 3, 'beta': 3, 'bayes_error': 0.2258, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6763025210084034, 'oracle': 0.37, 'iter': 13}
