{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 800, 'n_target': 25, 'classical': 0.24, 'labeled': 0.04, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 800, 'n_target': 25, 'classical': 0.21, 'labeled': 0.08, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0171, 'n_source': 800, 'n_target': 25, 'classical': 0.23, 'labeled': 0.09, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 800, 'n_target': 25, 'classical': 0.22, 'labeled': 0.03, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 800, 'n_target': 25, 'classical': 0.26, 'labeled': 0.07, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 800, 'n_target': 25, 'classical': 0.22, 'labeled': 0.1, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 800, 'n_target': 25, 'classical': 0.14, 'labeled': 0.07, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 800, 'n_target': 25, 'classical': 0.21, 'labeled': 0.07, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 800, 'n_target': 25, 'classical': 0.26, 'labeled': 0.06, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.06, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0225, 'n_source': 800, 'n_target': 25, 'classical': 0.14, 'labeled': 0.06, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 800, 'n_target': 25, 'classical': 0.2, 'labeled': 0.09, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.06, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 800, 'n_target': 25, 'classical': 0.18, 'labeled': 0.08, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 800, 'n_target': 25, 'classical': 0.29, 'labeled': 0.1, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 800, 'n_target': 25, 'classical': 0.22, 'labeled': 0.08, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 800, 'n_target': 25, 'classical': 0.18, 'labeled': 0.04, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0208, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.11, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 800, 'n_target': 25, 'classical': 0.25, 'labeled': 0.07, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 800, 'n_target': 25, 'classical': 0.25, 'labeled': 0.11, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 800, 'n_target': 25, 'classical': 0.25, 'labeled': 0.08, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.09, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0167, 'n_source': 800, 'n_target': 25, 'classical': 0.24, 'labeled': 0.06, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 800, 'n_target': 25, 'classical': 0.18, 'labeled': 0.06, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.11, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 800, 'n_target': 25, 'classical': 0.22, 'labeled': 0.08, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 800, 'n_target': 25, 'classical': 0.15, 'labeled': 0.06, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 800, 'n_target': 25, 'classical': 0.31, 'labeled': 0.13, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0213, 'n_source': 800, 'n_target': 25, 'classical': 0.21, 'labeled': 0.03, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 800, 'n_target': 25, 'classical': 0.28, 'labeled': 0.11, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 800, 'n_target': 25, 'classical': 0.25, 'labeled': 0.1, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 800, 'n_target': 25, 'classical': 0.19, 'labeled': 0.06, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0214, 'n_source': 800, 'n_target': 25, 'classical': 0.21, 'labeled': 0.09, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 800, 'n_target': 25, 'classical': 0.19, 'labeled': 0.04, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 800, 'n_target': 25, 'classical': 0.29, 'labeled': 0.13, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0207, 'n_source': 800, 'n_target': 25, 'classical': 0.15, 'labeled': 0.08, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 800, 'n_target': 25, 'classical': 0.19, 'labeled': 0.1, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 800, 'n_target': 25, 'classical': 0.24, 'labeled': 0.11, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 800, 'n_target': 25, 'classical': 0.15, 'labeled': 0.09, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 800, 'n_target': 25, 'classical': 0.17, 'labeled': 0.08, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 800, 'n_target': 25, 'classical': 0.13, 'labeled': 0.04, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 800, 'n_target': 25, 'classical': 0.23, 'labeled': 0.08, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 800, 'n_target': 25, 'classical': 0.21, 'labeled': 0.05, 'iter': 8}
