{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2395, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.29, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2437, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.36, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.234, 'n_source': 150, 'n_target': 50, 'classical': 0.18, 'labeled': 0.29, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.36, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2354, 'n_source': 150, 'n_target': 50, 'classical': 0.26, 'labeled': 0.26, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.235, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.31, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2396, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.31, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.36, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2365, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.35, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2421, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.3, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2375, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.25, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.34, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2349, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.31, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.31, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2417, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.39, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2401, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.28, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2428, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.33, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2426, 'n_source': 150, 'n_target': 50, 'classical': 0.4, 'labeled': 0.3, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2397, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.29, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2385, 'n_source': 150, 'n_target': 50, 'classical': 0.38, 'labeled': 0.36, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2366, 'n_source': 150, 'n_target': 50, 'classical': 0.18, 'labeled': 0.21, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.32, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2419, 'n_source': 150, 'n_target': 50, 'classical': 0.36, 'labeled': 0.35, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.232, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.4, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2406, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.25, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2413, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.29, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2321, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.3, 'iter': 18}

{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2342, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.3, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2378, 'n_source': 150, 'n_target': 50, 'classical': 0.22, 'labeled': 0.31, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.234, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.34, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2346, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.26, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2437, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.32, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2382, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.38, 'iter': 64{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2291, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.31, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2334, 'n_source': 150, 'n_target': 50, 'classical': 0.38, 'labeled': 0.36, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.3, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2371, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.3, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2361, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.28, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2352, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.29, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.31, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2364, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.33, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2362, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.34, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2429, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.43, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.237, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.32, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2365, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.34, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2313, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.36, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2382, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.28, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2427, 'n_source': 150, 'n_target': 50, 'classical': 0.21, 'labeled': 0.31, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.24, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.33, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.229, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.33, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2369, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.31, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2449, 'n_source': 150, 'n_target': 50, 'classical': 0.38, 'labeled': 0.37, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2344, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.28, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2323, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.32, 'iter': 42}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2345, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.38, 'iter': 13}{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2426, 'n_source': 150, 'n_target': 50, 'classical': 0.26, 'labeled': 0.34, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2294, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.36, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2464, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.3, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2353, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.32, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2398, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.34, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.34, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2416, 'n_source': 150, 'n_target': 50, 'classical': 0.42, 'labeled': 0.31, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2337, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.36, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2368, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.27, 'iter': 49}
'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2376, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.37, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2336, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.42, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2338, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.34, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2359, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.33, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2278, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.33, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.36, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2435, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.23, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2403, 'n_source': 150, 'n_target': 50, 'classical': 0.21, 'labeled': 0.3, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2439, 'n_source': 150, 'n_target': 50, 'classical': 0.32, 'labeled': 0.35, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.242, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.29, 'iter': 73}

{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2384, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.35, 'iter': 60}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2306, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.21, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2388, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.23, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2373, 'n_source': 150, 'n_target': 50, 'classical': 0.39, 'labeled': 0.45, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2475, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.32, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2372, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.27, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2401, 'n_source': 150, 'n_target': 50, 'classical': 0.26, 'labeled': 0.28, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2375, 'n_source': 150, 'n_target': 50, 'classical': 0.27, 'labeled': 0.34, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2353, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.28, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2422, 'n_source': 150, 'n_target': 50, 'classical': 0.34, 'labeled': 0.36, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.237, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.41, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2297, 'n_source': 150, 'n_target': 50, 'classical': 0.26, 'labeled': 0.29, 'iter': 86}
