 'beta': 3, 'bayes_error': 0.0179, 'n_source': 25, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.6, 'oracle': 0.1575, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 25, 'n_target': 100, 'lipton': 0.1925, 'prop-target': 0.58, 'oracle': 0.1925, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0214, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'prop-target': 0.72, 'oracle': 0.22, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.6000000000000001, 'oracle': 0.2125, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0228, 'n_source': 25, 'n_target': 100, 'lipton': 0.17, 'prop-target': 0.7401694915254237, 'oracle': 0.17, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 25, 'n_target': 100, 'lipton': 0.2075, 'prop-target': 0.6100000000000001, 'oracle': 0.2075, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0212, 'n_source': 25, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.7600000000000001, 'oracle': 0.1875, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.66, 'oracle': 0.2125, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 25, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.76, 'oracle': 0.1875, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 25, 'n_target': 100, 'lipton': 0.1925, 'prop-target': 0.7300000000000001, 'oracle': 0.1925, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 25, 'n_target': 100, 'lipton': 0.16, 'prop-target': 0.7, 'oracle': 0.16, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 25, 'n_target': 100, 'lipton': 0.16, 'prop-target': 0.8200000000000001, 'oracle': 0.16, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 25, 'n_target': 100, 'lipton': 0.2225, 'prop-target': 0.6300000000000001, 'oracle': 0.2225, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 25, 'n_target': 100, 'lipton': 0.225, 'prop-target': 0.7, 'oracle': 0.225, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'prop-target': 0.68, 'oracle': 0.2175, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.7100000000000001, 'oracle': 0.2125, 'iter': 38}
beta': 3, 'bayes_error': 0.0169, 'n_source': 25, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.64, 'oracle': 0.1775, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.72, 'oracle': 0.2125, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 25, 'n_target': 100, 'lipton': 0.2475, 'prop-target': 0.8, 'oracle': 0.2475, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 25, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.68, 'oracle': 0.185, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0208, 'n_source': 25, 'n_target': 100, 'lipton': 0.2375, 'prop-target': 0.6100000000000001, 'oracle': 0.2375, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.78, 'oracle': 0.23, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.74, 'oracle': 0.2125, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'prop-target': 0.7599999999999999, 'oracle': 0.21, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 25, 'n_target': 100, 'lipton': 0.18, 'prop-target': 0.71, 'oracle': 0.18, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0227, 'n_source': 25, 'n_target': 100, 'lipton': 0.245, 'prop-target': 0.72, 'oracle': 0.245, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0212, 'n_source': 25, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.7100000000000001, 'oracle': 0.1875, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 25, 'n_target': 100, 'lipton': 0.2025, 'prop-target': 0.8400000000000001, 'oracle': 0.2025, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 25, 'n_target': 100, 'lipton': 0.2075, 'prop-target': 0.68, 'oracle': 0.2075, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 25, 'n_target': 100, 'lipton': 0.215, 'prop-target': 0.64, 'oracle': 0.215, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.75, 'oracle': 0.2125, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.79, 'oracle': 0.2125, 'iter': 11}
nel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 25, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.7, 'oracle': 0.185, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 25, 'n_target': 100, 'lipton': 0.1925, 'prop-target': 0.75, 'oracle': 0.1925, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 25, 'n_target': 100, 'lipton': 0.2075, 'prop-target': 0.7600000000000001, 'oracle': 0.2075, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 25, 'n_target': 100, 'lipton': 0.215, 'prop-target': 0.67, 'oracle': 0.215, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 25, 'n_target': 100, 'lipton': 0.1725, 'prop-target': 0.72, 'oracle': 0.1725, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 25, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.74, 'oracle': 0.185, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 25, 'n_target': 100, 'lipton': 0.1925, 'prop-target': 0.76, 'oracle': 0.1925, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 25, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.65, 'oracle': 0.1875, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'prop-target': 0.76, 'oracle': 0.23, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 25, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.7000000000000001, 'oracle': 0.2125, 'iter': 93}
