{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 100, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.021, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.14, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 100, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.13, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0226, 'n_source': 400, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.09, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 400, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 50, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.16, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 50, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.08, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0221, 'n_source': 50, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.17, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.18, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0208, 'n_source': 50, 'n_target': 100, 'lipton': 0.53, 'oracle': 0.15, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0168, 'n_source': 50, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.11, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 50, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.23, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 50, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.18, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0241, 'n_source': 50, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 50, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.22, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 50, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.22, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.43, 'oracle': 0.14, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0214, 'n_source': 50, 'n_target': 100, 'lipton': 0.43, 'oracle': 0.2, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.15, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 50, 'n_target': 100, 'lipton': 0.46, 'oracle': 0.18, 'iter': 27}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 50, 'n_target': 100, 'lipton': 0.62, 'oracle': 0.14, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 50, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.21, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 50, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0198, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 50, 'n_target': 100, 'lipton': 0.24, 'oracle': 0.24, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 50, 'n_target': 100, 'lipton': 0.24, 'oracle': 0.24, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0207, 'n_source': 50, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.22, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 50, 'n_target': 100, 'lipton': 0.12, 'oracle': 0.12, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 50, 'n_target': 100, 'lipton': 0.41, 'oracle': 0.15, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 25, 'n_target': 100, 'lipton': 0.62, 'oracle': 0.17, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 25, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.24, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'oracle': 0.23, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'oracle': 0.15, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 25, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.16, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 25, 'n_target': 100, 'lipton': 0.11, 'oracle': 0.11, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 25, 'n_target': 100, 'lipton': 0.55, 'oracle': 0.17, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 25, 'n_target': 100, 'lipton': 0.09, 'oracle': 0.09, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 100, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 100, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.2, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 100, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.19, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 100, 'n_target': 100, 'lipton': 0.15, 'oracle': 0.15, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 100, 'n_target': 100, 'lipton': 0.39, 'oracle': 0.09, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 100, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 100, 'n_target': 100, 'lipton': 0.45, 'oracle': 0.15, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 100, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 100, 'n_target': 100, 'lipton': 0.13, 'oracle': 0.12, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 100, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.17, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0184, 'n_source': 25, 'n_target': 100, 'lipton': 0.17, 'oracle': 0.17, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0216, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'oracle': 0.26, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0208, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 81}
