{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 25, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.18, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 25, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.21, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'oracle': 0.23, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 25, 'n_target': 100, 'lipton': 0.68, 'oracle': 0.17, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'oracle': 0.17, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 25, 'n_target': 100, 'lipton': 0.62, 'oracle': 0.14, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0161, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.57, 'oracle': 0.18, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 25, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0214, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.22, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0212, 'n_source': 25, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.21, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 25, 'n_target': 100, 'lipton': 0.14, 'oracle': 0.14, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'oracle': 0.23, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 25, 'n_target': 100, 'lipton': 0.27, 'oracle': 0.27, 'iter': 15}
