{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 100, 'n_target': 100, 'classical': 0.17, 'labeled': 0.24, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.241, 'n_source': 100, 'n_target': 100, 'classical': 0.23, 'labeled': 0.22, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2353, 'n_source': 100, 'n_target': 100, 'classical': 0.33, 'labeled': 0.28, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.238, 'n_source': 100, 'n_target': 100, 'classical': 0.29, 'labeled': 0.27, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2301, 'n_source': 100, 'n_target': 100, 'classical': 0.27, 'labeled': 0.3, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2317, 'n_source': 100, 'n_target': 100, 'classical': 0.27, 'labeled': 0.3, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2377, 'n_source': 100, 'n_target': 100, 'classical': 0.37, 'labeled': 0.33, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2381, 'n_source': 100, 'n_target': 100, 'classical': 0.35, 'labeled': 0.38, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2339, 'n_source': 100, 'n_target': 100, 'classical': 0.31, 'labeled': 0.3, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2335, 'n_source': 100, 'n_target': 100, 'classical': 0.31, 'labeled': 0.34, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2397, 'n_source': 100, 'n_target': 100, 'classical': 0.38, 'labeled': 0.39, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.236, 'n_source': 100, 'n_target': 100, 'classical': 0.28, 'labeled': 0.37, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2411, 'n_source': 100, 'n_target': 100, 'classical': 0.3, 'labeled': 0.28, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2394, 'n_source': 100, 'n_target': 100, 'classical': 0.26, 'labeled': 0.28, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2389, 'n_source': 100, 'n_target': 100, 'classical': 0.31, 'labeled': 0.34, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2364, 'n_source': 100, 'n_target': 100, 'classical': 0.29, 'labeled': 0.3, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2369, 'n_source': 100, 'n_target': 100, 'classical': 0.32, 'labeled': 0.35, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2462, 'n_source': 100, 'n_target': 100, 'classical': 0.32, 'labeled': 0.27, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2332, 'n_source': 100, 'n_target': 100, 'classical': 0.26, 'labeled': 0.29, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2305, 'n_source': 100, 'n_target': 100, 'classical': 0.31, 'labeled': 0.29, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2356, 'n_source': 100, 'n_target': 100, 'classical': 0.37, 'labeled': 0.36, 'iter': 14}
