{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 750, 'n_target': 50, 'classical': 0.235, 'labeled': 0.055, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 750, 'n_target': 50, 'classical': 0.195, 'labeled': 0.0575, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.175, 'labeled': 0.0275, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 750, 'n_target': 50, 'classical': 0.19, 'labeled': 0.06, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.2175, 'labeled': 0.0275, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 750, 'n_target': 50, 'classical': 0.1725, 'labeled': 0.045, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 750, 'n_target': 50, 'classical': 0.1575, 'labeled': 0.045, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.2125, 'labeled': 0.0475, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'classical': 0.19, 'labeled': 0.035, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 750, 'n_target': 50, 'classical': 0.1775, 'labeled': 0.0325, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.025, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.19, 'labeled': 0.0525, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 750, 'n_target': 50, 'classical': 0.2125, 'labeled': 0.07, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 750, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.045, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.0375, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 750, 'n_target': 50, 'classical': 0.21, 'labeled': 0.0525, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'classical': 0.2, 'labeled': 0.025, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.1625, 'labeled': 0.04, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.15, 'labeled': 0.0425, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 750, 'n_target': 50, 'classical': 0.225, 'labeled': 0.025, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'classical': 0.1775, 'labeled': 0.0425, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 750, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.0425, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 750, 'n_target': 50, 'classical': 0.1975, 'labeled': 0.045, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.0375, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 750, 'n_target': 50, 'classical': 0.21, 'labeled': 0.04, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 750, 'n_target': 50, 'classical': 0.1675, 'labeled': 0.04, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 750, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.045, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 750, 'n_target': 50, 'classical': 0.1475, 'labeled': 0.0225, 'iter': 23}
