{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 750, 'n_target': 50, 'classical': 0.225, 'labeled': 0.1075, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0222, 'n_source': 750, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.085, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 750, 'n_target': 50, 'classical': 0.2225, 'labeled': 0.095, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 750, 'n_target': 50, 'classical': 0.185, 'labeled': 0.0875, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 750, 'n_target': 50, 'classical': 0.2075, 'labeled': 0.075, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 750, 'n_target': 50, 'classical': 0.215, 'labeled': 0.075, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 750, 'n_target': 50, 'classical': 0.18, 'labeled': 0.0825, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 750, 'n_target': 50, 'classical': 0.1825, 'labeled': 0.075, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 750, 'n_target': 50, 'classical': 0.23, 'labeled': 0.0775, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 750, 'n_target': 50, 'classical': 0.1975, 'labeled': 0.11, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 750, 'n_target': 50, 'classical': 0.22, 'labeled': 0.065, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 750, 'n_target': 50, 'classical': 0.19, 'labeled': 0.0925, 'iter': 93}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 750, 'n_target': 50, 'classical': 0.19, 'labeled': 0.095, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 750, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0625, 'iter': 8}
