{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2299, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.35, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2211, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.36, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2229, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.33, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2219, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.28, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2191, 'n_source': 150, 'n_target': 50, 'classical': 0.21, 'labeled': 0.29, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2228, 'n_source': 150, 'n_target': 50, 'classical': 0.26, 'labeled': 0.31, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.227, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.32, 'iter': 58}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2267, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.35, 'iter': 41}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2214, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.35, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2207, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.31, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2253, 'n_source': 150, 'n_target': 50, 'classical': 0.36, 'labeled': 0.38, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2148, 'n_source': 150, 'n_target': 50, 'classical': 0.25, 'labeled': 0.28, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2193, 'n_source': 150, 'n_target': 50, 'classical': 0.23, 'labeled': 0.24, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2185, 'n_source': 150, 'n_target': 50, 'classical': 0.28, 'labeled': 0.31, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2173, 'n_source': 150, 'n_target': 50, 'classical': 0.29, 'labeled': 0.25, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.22, 'n_source': 150, 'n_target': 50, 'classical': 0.18, 'labeled': 0.23, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2132, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.24, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2269, 'n_source': 150, 'n_target': 50, 'classical': 0.33, 'labeled': 0.39, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2213, 'n_source': 150, 'n_target': 50, 'classical': 0.31, 'labeled': 0.32, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2286, 'n_source': 150, 'n_target': 50, 'classical': 0.18, 'labeled': 0.24, 'iter': 42}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2235, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.34, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2254, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.4, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2227, 'n_source': 150, 'n_target': 50, 'classical': 0.45, 'labeled': 0.38, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.221, 'n_source': 150, 'n_target': 50, 'classical': 0.35, 'labeled': 0.35, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2194, 'n_source': 150, 'n_target': 50, 'classical': 0.3, 'labeled': 0.37, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.2226, 'n_source': 150, 'n_target': 50, 'classical': 0.36, 'labeled': 0.35, 'iter': 46}
