{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 150, 'n_target': 50, 'classical': 0.2575, 'labeled': 0.1675, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0215, 'n_source': 150, 'n_target': 50, 'classical': 0.185, 'labeled': 0.13, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 150, 'n_target': 50, 'classical': 0.19, 'labeled': 0.1275, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 150, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.12, 'iter': 1}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 150, 'n_target': 50, 'classical': 0.225, 'labeled': 0.15, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 150, 'n_target': 50, 'classical': 0.2175, 'labeled': 0.135, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 150, 'n_target': 50, 'classical': 0.2275, 'labeled': 0.13, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 150, 'n_target': 50, 'classical': 0.215, 'labeled': 0.1225, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 150, 'n_target': 50, 'classical': 0.2525, 'labeled': 0.1825, 'iter': 0}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 150, 'n_target': 50, 'classical': 0.2575, 'labeled': 0.17, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 150, 'n_target': 50, 'classical': 0.215, 'labeled': 0.11, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 150, 'n_target': 50, 'classical': 0.1725, 'labeled': 0.13, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0177, 'n_source': 150, 'n_target': 50, 'classical': 0.205, 'labeled': 0.1325, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 150, 'n_target': 50, 'classical': 0.195, 'labeled': 0.1, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0173, 'n_source': 150, 'n_target': 50, 'classical': 0.2375, 'labeled': 0.135, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 150, 'n_target': 50, 'classical': 0.2475, 'labeled': 0.155, 'iter': 2}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 150, 'n_target': 50, 'classical': 0.24, 'labeled': 0.17, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0204, 'n_source': 150, 'n_target': 50, 'classical': 0.1975, 'labeled': 0.125, 'iter': 30}
